buff_id,buff_name,buff_detail,buff_sameadd_max,buff_maxtime,buff_interface_show_flag
30338,Immobilized,Immobilized; unable to move or cast most skills,1,5.0,0
30339,Immobilized,Immobilized; unable to move or cast most skills,1,5.0,0
30340,Immobilized,Immobilized; unable to move or cast most skills,1,5.0,0
30341,Immobilized,Immobilized; unable to move or cast most skills,1,5.0,0
30342,Breath-hold,,1,8.0,0
30343,Turn off Physics,,1,3.0,0
30344,Absorb,,1,2.6,0
30346,Great Evasion,"When a ranged attack is about to hit you, you have a chance to enter Great Evasion, deflecting the attack",1,30.0,0
30347,Lion's Roar,,1,10.0,0
30348,Drunken Fist,,1,6.0,0
30349,Immobilized,,1,3.0,0
30350,Poisoned,"The powder of Enchanting Lotus enters your body, causing you to lose HP until you become seriously injured. Leave the Enchanting Lotus's poison range to recover.",1,-1.0,0
30351,Bee Venom,"The venom from Whisper Bee's sting enters your body, causing you to take damage continuously over a short time",1,10.0,0
30352,Super Armor,Immune to Weak Attack's Stagger Effect,1,5.0,0
30353,Bee Venom,"The venom from Whisper Bee's sting enters your body, causing you to take damage continuously over a short time",1,10.0,0
30354,Lucky Seventeen,,1,20.0,0
30355,Chopping Blade Qi,"Lucky Seventeen's years of forging weapons condensed into this lethal energy. Once accumulated full, those affected will die from a fatal explosion.",1,1.0,0
30356,Execute Disabled,,1,10.0,0
30357,Super Armor,,1,30.0,0
30358,Invincibility,,1,-1.0,0
30359,Control Immunity,Immune to crowd control effects,1,0.9,0
30361,Jump Disabled,,1,3.0,0
30362,Turn off Physics,,1,-1.0,0
30363,Qi Regeneration,,1,2.0,0
30364,Super Armor,,1,1.0,0
30365,Immobilized,Immobilized; unable to move or cast most skills,1,1.0,0
30366,Shield,Completely negates the first three instances of incoming damage and gains immunity to Qi damage while the shield lasts.,1,3.0,0
30367,Immobilized,Immobilized; unable to move or cast most skills,1,0.5,0
30368,Fatigue,Reduces Endurance Recovery by 70%,1,10.0,0
30369,Injured,Take damage over time,1,5.0,0
30370,Button Resource,,1,4.0,0
30371,Button Resource,,1,4.0,0
30372,Unrivaled,Gain Ultimate Armor and immunity to Qi damage. Reduce HP damage taken by 90%,1,5.0,0
30373,Taunt,"Becomes Taunted and Shocked, reducing damage dealt by 20% for a certain period.",1,10.0,0
30374,Shocked,"Becomes Shocked, reducing damage dealt by 20% for a certain period",1,10.0,0
30375,Taunt,,1,15.0,0
30376,DMG Reduction,Reduces damage taken by 60%,1,20.0,0
30377,Taunt,"Becomes Taunted and Shocked, reducing damage dealt by 40% for a certain period.",1,20.0,0
30378,Shocked,"Becomes Shocked, reducing damage dealt by 40% for a certain period",1,20.0,0
30379,DMG Reduction,Reduces damage taken by 30%,1,10.0,0
30380,Turn off Physics,,1,5.0,0
30381,Death Immunity,,1,-1.0,0
30382,Projectile AL,,1,2.0,0
30383,Heal,,1,4.0,0
30384,Transformation,,1,-1.0,0
30385,Transformation,,1,-1.0,0
30386,Transformation,,1,-1.0,0
30387,Transformation,,1,-1.0,0
30388,Transformation,,1,-1.0,0
30389,Transformation,,1,-1.0,0
30390,Transformation,,1,-1.0,0
30391,Transformation,,1,-1.0,0
30392,Transformation,,1,-1.0,0
30393,Transformation,,1,-1.0,0
30394,Transformation,,1,-1.0,0
30395,Transformation,,1,-1.0,0
30396,Transformation,,1,-1.0,0
30397,Transformation,,1,-1.0,0
30398,Transformation,,1,-1.0,0
30399,Steady,Immobilized; unable to move or cast most skills,1,5.0,0
30400,Slow Down,Reduces Movement Speed by 70%,1,8.0,0
30401,Chaos,Inversed Stick,1,7.0,0
30402,Stun,"Being stunned, unable to move or cast most skills",1,5.0,0
30403,Haunted,All movement directions entered become inversed,1,7.0,0
30404,Gust,"When attacked, transform into Yi Dao and launch a counter attack against the target",1,15.0,0
30405,Taunt,Transfers a percentage of damage dealt over a certain period to the effect's source,1,10.0,0
30406,DMG Reduction,Reduces damage taken by 60%.,1,10.0,0
30407,Protection,Unable to be locked. Take reduced damage,1,1.0,0
30408,Time Bomb,Take damage equal to 15% of Max HP after a 8-second countdown,1,8.1,0
30409,Silence,Unable to cast Martial Art and Mystic Art skills.,1,2.0,0
30410,Light Dust After Morning Rain,Take damage over 6 seconds.,1,5.11,0
30411,Target lost,,1,6.0,0
30412,Immobilized,Immobilized; unable to move or cast most skills,1,1.0,0
30413,Vision,,1,30.0,0
30414,Poison Flower,,1,1.0,0
30415,Poisoned,Become affected by a poison gas and take damage over time,1,15.0,0
30416,Unable to be locked,,1,-1.0,0
30417,Shield,"Generate a shield that absorbs Qi damage. While the shield is active, you are immune to Qi damage.",1,8.0,0
30418,Movement Restriction,"Unable to sprint, double/triple jump, or mount horse",1,2.0,0
30419,Super Armor,Immune to stagger and crowd control effects,1,6.0,0
30420,Invisibility,,1,-1.0,0
30421,Projectile AL,,1,3.0,0
30422,Projectile AL,,1,3.0,0
30423,Projectile AL,,1,3.0,0
30424,Inner Demon Bonus Buff,,1,-1.0,0
30425,Spell Zone,,1,5.0,0
30426,Explosion,,1,11.0,0
30427,Explosion,,1,11.0,0
30428,Explosion,,1,11.0,0
30429,Ground AL,,1,-1.0,0
30430,Ballista,,1,-1.0,0
30431,Awareness,,1,5.0,0
30432,Super Armor,,1,-1.0,0
30433,Perfect Dodge,,1,8.0,0
30434,Super Armor,,1,-1.0,0
30435,Mark,,1,3.0,0
30436,Animation Effect,,1,1.0,0
30437,Cannot be Selected,,1,-1.0,0
30438,Super Armor,,1,15.0,0
30439,Invincibility,,1,-1.0,0
30440,Immobilized,Immobilized; unable to move or cast most skills,1,1.0,0
30441,Snowy Peak,,1,0.5,0
30450,Youth,,1,-1.0,0
30451,Girl,,1,-1.0,0
30454,DMG Reduction,Reduces damage taken by 40%,1,16.0,0
30460,Super Armor,Immune to stagger and crowd control effects,1,2.0,0
30461,Silence,Unable to cast Martial Arts and Mystic Skills.,1,3.0,0
30478,Awareness,,1,5.0,0
30479,Awareness,,1,5.0,0
30480,Returning Spirit,Gain a skill that can revive the water clone's defeated target,1,7.0,0
30482,Heart Peach,"Shaped like a peach, this heart can never escape you.",1,8.0,0
30484,Flaw,My only flaw is I'm missing you.,1,8.0,0
30485,floating,Holding you gently in my palms.,1,8.0,0
30491,Awareness,,1,5.0,0
30500,Immobilized,Immobilized; unable to move or cast most skills,1,6.0,0
30503,Tendon Paralysis,Cannot use Cloud Steps,1,1.0,0
30504,Immobile,Enter Immobile State,1,1.0,0
30505,Illusory,Immune to all damage effects,1,3.0,0
30506,Illusory,Immune to all damage and control effects,1,3.0,0
30508,Silence,Unable to cast Martial Art and Mystic Art skills.,1,3.0,0
40001,Exhausted,Immobilized; unable to move or cast most skills,1,2.0,0
40002,Immobilized,Immobilized; unable to move or cast most skills,1,4.5,0
40003,Cannot be Selected,,1,-1.0,0
50000,Cat Fever - Tier 1,Reduces Movement Speed by 20% when a cat is nearby,1,-1.0,0
50001,Cat Fever - Tier 2,Reduces Movement Speed by 30% when a cat is nearby,1,-1.0,0
50002,Cat Fever - Tier 3,Reduces Movement Speed by 50% when a cat is nearby,1,-1.0,0
50003,Cat Fever - Tier 4,Reduces Movement Speed by 80% when a cat is nearby,1,-1.0,0
50004,Cat Fever - Tier 1,Reduces Movement Speed by 20% when a cat is nearby,1,-1.0,0
50005,Cat Fever - Tier 2,Reduces Movement Speed by 30% when a cat is nearby,1,-1.0,0
50006,Cat Fever - Tier 3,Reduces Movement Speed by 50% when a cat is nearby,1,-1.0,0
50007,Cat Fever - Tier 4,Reduces Movement Speed by 80% when a cat is nearby,1,-1.0,0
50008,Cat Fever - Tier 1,,1,-1.0,0
50009,Cat Fever - Tier 2,,1,-1.0,0
50010,Cat Fever - Tier 3,,1,-1.0,0
50011,Cat Fever - Tier 4,,1,-1.0,0
50013,Acupoint Strike successful,,1,20.0,0
50101,HP Recovery,,1,0.2,0
50102,HP decreased,,1,0.2,0
50103,Disguise as a male Scripture Preacher (Type Ⅰ),,1,-1.0,0
50104,Disguise as a female Scripture Preacher (Type Ⅱ),,1,-1.0,0
50105,Bujian Mountain Field Boss Centipede Disease Additional Makeup Buff,,1,,0
70001,Defeat immediately,,1,-1.0,0
70002,Multiplier mark,,1,-1.0,0
70003,Triple multiplier against target,,1,-1.0,0
70004,Immune to specific resolution point,,1,-1.0,0
70005,Super Armor,Super Armor,1,-1.0,0
70006,Defeater grants buff mark,,1,-1.0,0
70007,Connection Test,,1,-1.0,0
70008,DMG Reduction,,1,20.0,0
70009,Fragile,,1,-1.0,0
70010,Vulnerable,,1,-1.0,0
70011,Toughness,,1,-1.0,0
70012,Approach the fireball,Silence,1,15.0,0
70013,Scalded,Heat Up,1,15.0,0
70014,Slice,,1,3.0,0
70015,Amplify,Spirit Lantern,1,20.0,0
70016,Explosion,,1,13.5,0
70017,Pop,,1,15.0,0
70018,Connect,Leave immediately,1,20.0,0
70019,DMG Reduction,,1,-1.0,0
70020,Amplify,,1,-1.0,0
70021,Immobilized,Immobilized; unable to move or cast most skills,1,15.0,0
70022,Drowning,Become drowned and receive reduced healing,1,15.0,0
70023,Immunity,,1,12.0,0
70024,Immunity,,1,12.0,0
70025,Immune to Parry,Immune to Parry,1,-1.0,0
70026,Heal Enhancement,,1,-1.0,0
70027,DMG Reduction,,1,-1.0,0
70028,Amplify,,1,-1.0,0
70029,Amplify,,1,-1.0,0
70030,Vulnerable,Increases Damage Taken,5,40.0,0
70031,Effect,,1,-1.0,0
70032,Effect,,1,-1.0,0
70033,Effect,,1,-1.0,0
70034,Effect,,1,-1.0,0
70035,Knockback,,1,-1.0,0
70036,Effect,,1,-1.0,0
70037,Effect,,1,-1.0,0
70038,Effect,,1,-1.0,0
70039,Effect,,1,-1.0,0
70040,Effect,,1,5.0,0
70041,Immobilized,,1,2.5,0
70042,Nine Mysteries Gameplay,,1,-1.0,0
70043,Nine Mysteries Gameplay,,1,-1.0,0
70044,Chaos,"Disoriented, stay calm!",1,30.0,0
70045,Enhance,The Void King is enraged and more dangerous now.,3,300.0,0
70046,Propulsion,,1,1.0,0
70047,Cold Poison,"Suffering continuous poison damage, more stacks increase damage and lock certain Martial Arts into unusable state, four stacks cause burst damage",4,15.0,0
70048,Cold Poison Eruption,"Cold Poison erupts, causing stun effect and burst damage but triggers one \""Cold Poison\"" cleanse",1,2.0,0
70049,Memory of Past Life,,1,-1.0,0
70050,Calamity of This Life,,1,-1.0,0
70051,Grudge of Next Life,,1,-1.0,0
70052,Three-Life Pill,,1,-1.0,0
70053,Poison of Lives,,1,2.0,0
70054,Poison of Lives,,1,2.0,0
70055,Grow,,1,185.0,0
70056,Ripen,,1,2.0,0
70057,Mature,,1,5.0,0
70058,Cold Poison Eruption,"Tri-Life Dream Pact poison erupts, causing stun effect and burst damage",1,3.5,0
70059,Three-Life Pill,,1,2.0,0
70060,Dream Entanglement,,1,2.0,0
70061,Speed Up,,1,3.0,0
70062,Collision removed,,1,2.0,0
70063,Invincibility,,1,-1.0,0
70064,Scorch,"Suffer from the extreme heat, taking scorch damage over time",1,-1.0,0
70065,Recover,,1,2.0,0
70066,Burned,,1,-1.0,0
70067,测试用,,1,-1.0,0
70068,DMG Reduction,,1,-1.0,0
70069,Amplify,,1,-1.0,0
70070,Amplify,,1,-1.0,0
70071,Immobilized,,1,5.0,0
70072,Burst,,1,5.0,0
70073,Three-Life Pill,,1,5.0,0
70074,Cold Poison,,1,15.0,0
70075,Cold Poison,,1,15.0,0
70076,Cold Poison,,1,15.0,0
70077,Cold Poison,,1,15.0,0
70078,Cold Poison,,1,15.0,0
70079,Tri-Life Dream Pact,,1,-1.0,0
70080,Burst,,1,2.0,0
70081,Mature,,1,5.0,0
70082,Tri-Life Dream Pact,,1,16.0,0
70083,Arena Survivability Modifier,,1,-1.0,0
70084,Thorn,,1,-1.0,0
70085,Unconscious,,1,60.0,0
70086,Unconscious,,1,60.0,0
70087,Unconscious,,1,60.0,0
70088,Unconscious,,1,60.0,0
70089,Effect,,1,5.0,0
70090,Lone Silhouette,,1,5.2,0
70091,Immobilized,,1,4.5,0
70092,Formless Storm,,1,-1.0,0
70093,Formless Storm,,1,-1.0,0
70094,Test,Silence,1,15.0,0
70097,Effect,,1,-1.0,0
70098,Effect,,1,-1.0,0
70099,Test,,1,3.0,0
70100,Test,,1,3.0,0
70101,Defeat immediately,,1,-1.0,0
70102,Immobilized,,1,60.0,0
70103,Slay Daylight,,1,-1.0,0
70104,Qi DMG Reduction,,1,-1.0,0
70105,Silence,Silence,1,600.0,0
70108,Dispel Silence,Dispel Immunity,1,3.0,0
70110,Silence Immunity,Silence Immunity,1,600.0,0
70112,Dispel Silence Immunity,Dispel Silence Immunity,1,3.0,0
70114,Immobilized,Immobilized,1,60.0,0
70115,Dispel Silence and Immobilize,Dispel Silence and Immobilize,1,3.0,0
70116,Silence and Immobilize Immunity,Silence and Immobilize Immunity,1,600.0,0
70117,Healing Success,Successfully healed,1,3.0,0
70118,Slow Down,Movement Speed reduced by 25%,1,-1.0,0
70119,Slow Down,Movement Speed reduced by 50%,1,-1.0,0
70120,Slow Down,Movement Speed reduced by 75%,1,-1.0,0
70121,Dispel Immunity,Dispel Slow Down,1,3.0,0
70122,Silence Immunity,Slow Down Immunity,1,600.0,0
70123,Invincibility,,1,1.5,0
70124,Effect,,1,999.0,0
70125,Super Armor,Super Armor,1,-1.0,0
70126,Super Armor,Super Armor,1,-1.0,0
70127,Fragile,,1,3600.0,0
70128,Mark,,1,5.0,0
70129,Mark,,1,5.0,0
70130,Mark,,1,5.0,0
70132,Birth,Revive!,4,600.0,0
70133,Stealth,,1,60.0,0
70134,Preparing for Arena,,1,60.0,0
70135,Bonus Default,,1,5.0,0
70136,Floor ID,,1,5.0,0
70137,Parameters Ready,,1,5.0,0
70138,Add 2,,1,5.0,0
70139,Amplify,,1,-1.0,0
70140,Amplify,,1,-1.0,0
70141,Invincibility,,1,5.0,0
70142,Animal,,1,-1.0,0
70143,Defeated,,1,5.0,0
70144,Giant Bear,,1,-1.0,0
70145,Giant Bear,,1,-1.0,0
70146,Enemy,,1,30.0,0
70147,Weakened,,1,-1.0,0
70148,Smoke Bomb Immunity,,1,-1.0,0
70149,Defeated,,1,10.0,0
70150,Master,,1,-1.0,0
70151,Defeated,,1,10.0,0
70152,Defeated,,1,10.0,0
70153,Defeated,,1,10.0,0
70154,Defeated,,1,10.0,0
70155,Defeated,,1,10.0,0
70158,Formless,,1,-1.0,0
70159,Appear,,1,10.0,0
70160,Super Armor,,1,-1.0,0
70161,Exhausted,Take increased damage when Qi is empty,1,7.0,0
70162,Leave,,1,6.0,0
70163,Enemy,,1,10.0,0
70164,Tutorial,,1,-1.0,0
70165,Tutorial,,1,2.0,0
70166,Stealth,,1,-1.0,0
70167,Appear,,1,2.0,0
70168,Animal,,1,-1.0,0
70169,Monkey,,1,-1.0,0
70170,De-amplify,,1,-1.0,0
70171,Stealth,,1,2.0,0
70172,Stealth,,1,8.0,0
70173,Phase 2,,1,-1.0,0
70174,Phase 2,,1,-1.0,0
70175,Stealth,,1,10.0,0
70176,Super Armor,,1,1.5,0
70177,Invincibility,,1,20.0,0
70178,Might of Thunder,,1,-1.0,0
70179,Invincibility,,1,5.0,0
70180,Hard,,1,-1.0,0
70181,Qi Lock,,1,-1.0,0
70182,Activate Shield,Turn on ice shield at the right timing to negate fire damage,1,60.0,0
70183,Activate Shield,Turn on fire shield at the right timing to negate frost damage,1,60.0,0
70184,Defense,Able to defend against full-screen damage,1,10.0,0
70185,Nightmare Affliction,The clone will explode after 30s,1,31.0,0
70186,Might of Fire,You have defeated a Flame Clone; you now deal double damage against Ice Clones,1,100.0,0
70187,Might of Flower,You have defeated an Ice Clone; you now deal double damage against Flame Clones,1,100.0,0
70188,Burn,"Burned by flames, continuously dealing damage to self and nearby allies.",1,20.0,0
70189,Frozen,Frozen by frost. You must kill frost minions to be rescued.,1,20.0,0
70190,Might of Fire,,1,-1.0,0
70191,Might of Flower,,1,-1.0,0
70192,Focus,Caught by Qianye's charming gaze,1,5.0,0
70193,Everlasting Gu,"Afflicted by the venomous gu, losing HP over time",5,600.0,0
70194,Heal,Heal the target affected by gu,1,60.0,0
70195,Marker,,1,-1.0,0
70196,Tank,,1,-1.0,0
70197,Invincibility,,1,-1.0,0
70198,Performance Only,,1,-1.0,0
70199,Performance Only,,1,-1.0,0
70200,Test,,1,60.0,0
70201,Test,,1,6000.0,0
70203,Multiplayer Boss Healing Adjustment,,1,-1.0,0
70204,Tank,,1,-1.0,0
70205,Resonant Gold Damage Detection,Resonant Gold Damage Attribute Shield,1,-1.0,0
70206,Stone-Splitting Damage Detection,Stone-Splitting Damage Attribute Shield,1,-1.0,0
70207,Silk Strand Damage Detection,Silk Strand Damage Attribute Shield,1,-1.0,0
70208,Bamboo Split Damage Detection,Bamboo Split Damage Attribute Shield,1,-1.0,0
70209,Attribute DMG Reduction,10%/30%/50%/70% DMG Reduction at 1/2/3/4 stacks. Removes 1 stack after taking a certain amount of Attribute Damage (each type of Attribute Damage can only remove 1 stack).,4,-1.0,0
70210,Dispel one stack of Attribute DMG Reduction,,4,1.0,0
70211,Wind Guard,Each stack reduces the boss's damage by 5% and restores 2.5% HP,10,-1.0,0
70212,Tank,,1,-1.0,0
70213,Buff Duration Extension,,1,-1.0,0
70214,Invincibility,,1,5.0,0
70215,Attribute DMG Reduction,20%/30%/40%/50% DMG Reduction at 1/2/3/4 stacks. Removes 1 stack after taking a certain amount of Attribute Damage (each type of Attribute Damage can only remove 1 stack).,4,-1.0,0
70216,Select Protection,,1,-1.0,0
70217,Lock-on Immunity,,1,-1.0,0
77000,Burning,,1,-1.0,0
77001,Burning,"Lit on fire, losing HP continuously",1,5.0,0
77002,Blind,Causes Blind and Poison over time,5,10.0,0
77006,Effect,,1,20.0,0
77007,Drowning,"Drowns while diving, losing HP over time.",1,999.0,0
77008,Poisoned,"Poisoned, losing HP over time",1,999.0,0
77009,Health Regeneration,HP Recovery,1,1.0,0
77010,Super Armor,Immune to Weak Attack's Stagger Effect,1,-1.0,0
77011,Super Armor,Immune to Weak Attack's Stagger Effect,1,1.0,0
77012,Burning,"Lit on fire, losing HP continuously",1,5.0,0
77013,Weakened,,1,-1.0,0
77014,Invincibility,,1,-1.0,0
77015,Wooden Hit,,1,-1.0,0
77016,Fragile,,1,3600.0,0
77017,Breezing Sword of Annihilation,,1,3.0,0
77018,Blind,"Vision blocked by Smoke Bomb, unable to see nearby units clearly",1,4.0,0
77019,Recover Qi,,1,1.0,0
77020,Invincibility,,1,0.2,0
77021,Unlock,,1,4.0,0
77022,DMG Reduction,,1,-1.0,0
77023,DMG Reduction,,1,-1.0,0
